MPN	SE_MAN_NAME	MFG	CS_STATUS	SCRUB_STATUS	SCRUBBING_STANDARD_COMMENT	SCRUB_URL_COMMENT_ONLINE	SCRUB_URL_COMMENT_FILE_PATH	SCRUB_DS	SCRUB_DS_FILE_PATH	PRODUCT_URL PAGE	TAX_PATH	SE_PART	SE_SUPPLIER	SCRUBBING_ADDITIONAL_COMMENT	CUSTOMER_DESCRIPTION	SCRUB_DS_SOURCE	SCRUB_DS_FILE_TYPE	SCRUB_URL_COMMENT_SOURCE	SCRUB_URL_COMMENT_FILE_TYPE	SOURCING_TASKS_NAME	TRIGGER_Name	SCRUBBING_TASK
(C0603)	KEMET Corporation	(KEMET)	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(C0805)	KEMET Corporation	(KEMET)	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(C0805C474K3RAC)	Molex	MOLEX-ETC	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CA3039)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CD 4081 BCN)	"L3Harris Technologies, Inc"	HARRIS SEMICONDUCTOR	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CD) 74HC86 E	0	HARRIS/RCA/INTERSIL	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CD)74HC253E	Renesas Electronics	RCA/HARRIS/INTERSIL	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC253E	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CD4011BD)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CD74HC125E)	Renesas Electronics	RCA	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC125E	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CD74HC138E)	Renesas Electronics	RCA	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC138E	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CD74HC377E)	Renesas Electronics	RCA	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC377E	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CD74HC541E)	Renesas Electronics	RCA	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC541E	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CD74HC541M)	Renesas Electronics	RCA	Direct Match Corrected supplier	Direct Match Corrected supplier								CD74HC541M	Texas Instruments	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(CEAFM1E102M)	Ericsson	MARCON	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CEUSM1H220)	Ericsson	MARCON	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CEUSM1V221)	Ericsson	MARCON	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CF 1/4 242 J)	KOA Speer Electronics	KOA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CF 1/4 910 J)	KOA Speer Electronics	KOA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CNY17-2)	Quality Technologies	QUALITY TECHNOLOGIES	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CR10-4992-F)	0	TECH-MEN	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CR1220)	0	(VARTA DURACEL)	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CR32-105J-T)	Everett Charles Technologies	OSTBY BARTON	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(CRCW08052K49FKEA)	"ABB Installation Products, Inc"	T&B	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DD-050)	Vishay	CENTRALAB	Direct Match Corrected supplier	Direct Match Corrected supplier								DD-050	Koninklijke Philips N.V.	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(DD-050)	NXP Semiconductors	PHILIPS	Direct Match Corrected supplier	Direct Match Corrected supplier								DD-050	Koninklijke Philips N.V.	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(DD102)	Nexperia	Nexperia	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DD-201)	Vishay	CENTRALAB	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DD-201)	NXP Semiconductors	PHILIPS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DD300)	NXP Semiconductors	PHILIPS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DILB20P-223T)	BURNDY	BURNDY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DILB28P-223TLF)	BURNDY	BURNDY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DILB40P-223T)	BURNDY	BURNDY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DILB40P-223TLF)	BURNDY	BURNDY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DILB8P-223T)	BURNDY	BURNDY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(DM53745-7)	Bel Fuse Inc	CINCH/TRW	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(E232)	Vishay	SILICONIX	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ECJ3YB1C225K)	KEMET Corporation	KEMET	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(FE)2(O)3	Advanced Specialty Chemicals	ADVANCED SPECIALTY CHEMICALS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(FE3D)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								FE3D	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(G)B5B-XH-A(LF)(SN)	0	SHANGHAI ELE LINK ELECTRONICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(GI504)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								GI504	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(GL41M)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								GL41M	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(GL41M/26)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								GL41M/26	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(H11AV2)	Three-Five Systems	THREE-FIVE SEMI.	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(H11AV2)	Quality Technologies	QUALITY TECHNOLOGIES	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(H11AV2)	"Motorola Solutions, Inc"	MOTOROLA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(H11AV2)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(H11AV2A)	Quality Technologies	QUALITY TECHNOLOGIES	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(H11AV2A)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(HGTG30N60C3D)	"L3Harris Technologies, Inc"	HARRIS SEMICONDUCTOR	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(HGTG30N60C3D)	0	HI PURITY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ICL3232ECA)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ICL8069BCSQ)	Renesas Electronics	INTERSIL	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ICTE-15)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								ICTE-15	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(ICTE-36)	Vishay	GENERAL SEMICONDUCTOR	Direct Match Corrected supplier	Direct Match Corrected supplier								ICTE-36	Microchip Technology	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(ICTE-36)	Motorola Mobility LLC	GENERAL INSTRUMENT	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ICTE-36)	American Power Devices	AMERICAN POWER DEV.	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(IPB60R190C6)	Blackmagic Design Pty. Ltd	Blackmagic Design	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(IRF510)	STMicroelectronics	ST MICROELECTRONICS	Direct Match Corrected supplier	Direct Match Corrected supplier								IRF510	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(IRF510)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(IRF512)	Vishay	SILICONIX	Direct Match Corrected supplier	Direct Match Corrected supplier								IRF512	Microchip Technology	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
