MPN	SE_MAN_NAME	MFG	CS_STATUS	SCRUB_STATUS	SCRUBBING_STANDARD_COMMENT	SCRUB_URL_COMMENT_ONLINE	SCRUB_URL_COMMENT_FILE_PATH	SCRUB_DS	SCRUB_DS_FILE_PATH	PRODUCT_URL PAGE	TAX_PATH	SE_PART	SE_SUPPLIER	SCRUBBING_ADDITIONAL_COMMENT	CUSTOMER_DESCRIPTION	SCRUB_DS_SOURCE	SCRUB_DS_FILE_TYPE	SCRUB_URL_COMMENT_SOURCE	SCRUB_URL_COMMENT_FILE_TYPE	SOURCING_TASKS_NAME	TRIGGER_Name	SCRUBBING_TASK
TY1200-175X	"ABB Installation Products, Inc"	"ABB Installation Products, Inc"	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
TY175-50-ANTI	"ABB Installation Products, Inc"	"ABB Installation Products, Inc"	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
TY400-120-ANTI	"ABB Installation Products, Inc"	"ABB Installation Products, Inc"	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
CPM3225A-2K	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								CPM3225A-2K	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
CPH3225A	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								CPH3225A	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
LTP1245S-C384-E	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								LTP1245S-C384-E	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
MS414GE	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								MS414GE	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
MS614SE-FL28E	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								MS614SE FL28E	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
MS920SE	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								MS920SE	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
MS920SE-FL27E	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								MS920SE FL27E	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SC16S-9PF20PPM	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SC16S-9PF20PPM	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SC32S-7PF20PPM	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SC32S-7PF20PPM	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SC20S-9PF20PPM	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SC20S-9PF20PPM	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SR920W	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SR920W	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SR41W	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SR41W	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SR43SW	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								SR43SW	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
TS621E	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								TS621E	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
TS621E-FL11E	ABLIC Inc	ABLIC Inc	Direct Match Corrected supplier	Direct Match Corrected supplier								TS621E FL11E	Seiko Instruments Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
SST59U	Belden	Belden	Direct Match Corrected supplier	Direct Match Corrected supplier								SST59U	ABB Installation Products, Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
DB15	Belden	Belden	Direct Match Corrected supplier	Direct Match Corrected supplier								DB15	ABB Installation Products, Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
311P409-2P-B-12	C&K	C&K	Direct Match Corrected supplier	Direct Match Corrected supplier								311P409-2P-B-12	ITT Inc							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
TR01000	Aearo Technologies LLC	Aearo Technologies LLC	Direct Match Corrected supplier	Direct Match Corrected supplier								TR-01-000	3M							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
CXM50	Chemtronics	Chemtronics	Direct Match Corrected supplier	Direct Match Corrected supplier								CXM50	Illinois Tool Works							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
CW3300C	Chemtronics	Chemtronics	Direct Match Corrected supplier	Direct Match Corrected supplier								CW3300C	Illinois Tool Works							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
8200-W	Corning Incorporated	Corning Incorporated	Direct Match Corrected supplier	Direct Match Corrected supplier								8200-W	3M							(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
